Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
CL White (DCH/RCB/SRH),2008-2013,47,7.0,0,42,86,1,1/14,86.00,12.28,42.00,0,0,0
KJ Abbott (KXIP),2016-2016,5,16.0,0,96,177,2,1/38,88.50,11.06,48.00,0,0,0
KT Maphaka (MI),2024-2024,2,6.0,0,36,89,1,1/23,89.00,14.83,36.00,0,0,0
MJ Henry (KXIP/LSG),2017-2024,6,17.0,0,102,181,2,1/28,90.50,10.64,51.00,0,0,0
P Dubey (DC),2020-2023,4,11.0,0,66,91,1,1/19,91.00,8.27,66.00,0,0,0
B Geeves (DC),2008-2008,2,8.0,0,48,91,1,1/50,91.00,11.37,48.00,0,0,0
V Kohli (RCB),2008-2024,252,41.5,0,251,368,4,2/25,92.00,8.79,62.75,0,0,0
L Wood (MI),2024-2024,2,6.0,0,36,93,1,1/68,93.00,15.50,36.00,0,0,0
DJ Mitchell (CSK/RR),2022-2024,15,8.0,0,48,97,1,1/18,97.00,12.12,48.00,0,0,0
MJ Dagar (RCB/SRH),2023-2024,8,22.5,0,137,203,2,1/23,101.50,8.89,68.50,0,0,0
SA Abbott (RCB/SRH),2015-2022,3,9.0,0,54,104,1,1/47,104.00,11.55,54.00,0,0,0
MK Lomror (RCB/RR),2018-2024,40,15.0,0,90,127,1,1/22,127.00,8.46,90.00,0,0,0
AA Jhunjhunwala (DCH/PWI/RR),2010-2012,21,14.1,0,85,129,1,1/13,129.00,9.10,85.00,0,0,0
TP Sudhindra (DCH),2012-2012,3,11.4,0,70,136,1,1/46,136.00,11.65,70.00,0,0,0
