Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
P Amarnath (CSK),2008-2008,6,22.0,0,132,236,7,2/29,33.71,10.72,18.85,0,0,0
M de Lange (KKR/MI),2012-2015,5,18.0,1,108,169,5,3/34,33.80,9.38,21.60,0,0,0
AS Rajpoot (CSK/KKR/KXIP/RR),2013-2020,29,88.1,1,529,814,24,5/14,33.91,9.23,22.04,0,1,0
HF Gurney (KKR),2019-2019,8,27.0,0,162,238,7,2/25,34.00,8.81,23.14,0,0,0
Mohammad Hafeez (KKR),2008-2008,8,10.0,0,60,68,2,1/8,34.00,6.80,30.00,0,0,0
Harmeet Singh (RR),2013-2013,1,4.0,0,24,34,1,1/34,34.00,8.50,24.00,0,0,0
SS Sarkar (KKR),2009-2009,2,4.1,0,25,34,1,1/15,34.00,8.16,25.00,0,0,0
LMP Simmons (MI),2014-2017,29,3.0,0,18,34,1,1/34,34.00,11.33,18.00,0,0,0
KH Pandya (LSG/MI),2016-2024,127,353.4,1,2122,2606,76,3/11,34.28,7.36,27.92,0,0,0
Swapnil Singh (KXIP/LSG/RCB),2016-2024,14,27.0,0,162,241,7,2/28,34.42,8.92,23.14,0,0,0
STR Binny (MI/RCB/RR),2010-2019,95,99.0,0,594,758,22,2/14,34.45,7.65,27.00,0,0,0
Mohammad Nabi (MI/SRH),2017-2024,24,69.3,0,417,517,15,4/11,34.46,7.43,27.80,1,0,0
I Sharma (DC/DCH/KKR/KXIP/RPS/SRH),2008-2024,110,384.5,6,2309,3172,92,5/12,34.47,8.24,25.09,0,1,0
SB Styris (CSK/DCH),2008-2011,12,36.0,0,216,276,8,3/32,34.50,7.66,27.00,0,0,0
M Ntini (CSK),2008-2008,9,35.0,2,210,242,7,4/21,34.57,6.91,30.00,1,0,0
Anureet Singh (KKR/KXIP/RR),2009-2018,23,68.4,0,412,623,18,3/23,34.61,9.07,22.88,0,0,0
R Tewatia (DC/GT/KXIP/RR),2014-2024,93,140.3,0,843,1111,32,3/18,34.71,7.90,26.34,0,0,0
M Prasidh Krishna (KKR/RR),2018-2022,51,190.5,3,1145,1703,49,4/30,34.75,8.92,23.36,1,0,0
AG Murtaza (MI/PWI),2010-2013,12,44.0,0,264,313,9,3/15,34.77,7.11,29.33,0,0,0
MS Gony (CSK/DCH/GL/KXIP),2008-2017,44,148.0,3,888,1287,37,3/31,34.78,8.69,24.00,0,0,0
RR Raje (MI),2008-2009,10,23.1,0,139,209,6,2/16,34.83,9.02,23.16,0,0,0
Joginder Sharma (CSK),2008-2011,16,42.4,0,256,419,12,2/27,34.91,9.82,21.33,0,0,0
R Powell (DC/RR),2022-2024,27,3.0,0,18,35,1,1/18,35.00,11.66,18.00,0,0,0
GJ Maxwell (DC/KXIP/MI/RCB),2012-2024,134,157.2,1,944,1303,37,2/15,35.21,8.28,25.51,0,0,0
I Udana (RCB),2020-2020,10,29.0,0,174,282,8,2/41,35.25,9.72,21.75,0,0,0
JH Kallis (KKR/RCB),2008-2014,98,290.2,3,1742,2293,65,3/13,35.27,7.89,26.80,0,0,0
Abhishek Sharma (DC/SRH),2018-2024,63,45.0,0,270,389,11,2/4,35.36,8.64,24.54,0,0,0
J Syed Mohammad (RCB),2011-2013,11,32.0,0,192,283,8,2/15,35.37,8.84,24.00,0,0,0
BA Stokes (CSK/RPS/RR),2017-2023,45,114.5,2,689,992,28,3/15,35.42,8.63,24.60,0,0,0
SC Kuggeleijn (CSK),2019-2019,2,8.0,0,48,71,2,2/37,35.50,8.87,24.00,0,0,0
BAW Mendis (KKR/PWI),2008-2013,10,40.0,0,240,285,8,2/19,35.62,7.12,30.00,0,0,0
R Dhawan (KXIP/MI/PBKS),2013-2024,39,110.2,1,662,891,25,2/14,35.64,8.07,26.48,0,0,0
CJ Jordan (CSK/KXIP/MI/PBKS/RCB/SRH),2016-2023,34,111.2,1,668,1070,30,4/11,35.66,9.61,22.26,1,0,0
LS Livingstone (PBKS/RR),2019-2024,39,43.0,0,258,393,11,3/27,35.72,9.13,23.45,0,0,0
M Jansen (MI/SRH),2021-2024,21,75.0,1,450,715,20,3/25,35.75,9.53,22.50,0,0,0
AM Nayar (KXIP/MI/PWI/RR),2008-2014,60,38.1,0,229,322,9,3/13,35.77,8.43,25.44,0,0,0
Harpreet Brar (KXIP/PBKS),2019-2024,41,113.1,1,679,895,25,4/30,35.80,7.90,27.16,1,0,0
Washington Sundar (RCB/RPS/SRH),2017-2024,60,175.4,1,1054,1325,37,3/16,35.81,7.54,28.48,0,0,0
S Dube (CSK/RCB/RR),2019-2024,65,18.4,0,112,180,5,2/15,36.00,9.64,22.40,0,0,0
BMAJ Mendis (DC),2013-2013,3,5.0,0,30,36,1,1/16,36.00,7.20,30.00,0,0,0
P Kumar (GL/KXIP/MI/RCB/SRH),2008-2017,119,420.4,14,2524,3251,90,3/18,36.12,7.72,28.04,0,0,0
JP Duminy (DC/DCH/MI),2009-2018,83,113.0,0,678,834,23,4/17,36.26,7.38,29.47,1,0,0
SC Ganguly (KKR/PWI),2008-2012,59,46.0,0,276,363,10,2/21,36.30,7.89,27.60,0,0,0
RJW Topley (RCB),2023-2024,5,17.0,0,102,182,5,2/27,36.40,10.70,20.40,0,0,0
Mohammad Asif (DC),2008-2008,8,32.0,0,192,296,8,2/19,37.00,9.25,24.00,0,0,0
TG Southee (CSK/KKR/MI/RCB/RR),2011-2023,54,201.0,2,1206,1742,47,3/20,37.06,8.66,25.65,0,0,0
S Nadeem (DC/SRH),2011-2021,72,235.5,2,1415,1784,48,3/16,37.16,7.56,29.47,0,0,0
S Randiv (CSK),2011-2011,8,29.0,0,174,223,6,2/24,37.16,7.68,29.00,0,0,0
Suyash Sharma (KKR),2023-2024,13,43.0,0,258,372,10,3/30,37.20,8.65,25.80,0,0,0
DR Sams (DC/MI/RCB),2020-2022,16,60.0,0,360,523,14,4/30,37.35,8.71,25.71,1,0,0
Ankit Sharma (DCH/RPS/RR/SRH),2012-2018,22,61.1,0,367,450,12,2/20,37.50,7.35,30.58,0,0,0
Rasikh Salam (DC/KKR/MI),2019-2024,11,32.3,0,195,339,9,3/34,37.66,10.43,21.66,0,0,0
SH Johnson (GT),2024-2024,5,16.0,0,96,151,4,2/25,37.75,9.43,24.00,0,0,0
Fazalhaq Farooqi (SRH),2022-2023,7,25.2,0,152,227,6,2/32,37.83,8.96,25.33,0,0,0
JD Ryder (PWI/RCB),2009-2012,29,39.2,1,236,303,8,2/14,37.87,7.70,29.50,0,0,0
AS Tendulkar (MI),2023-2024,5,12.1,0,73,114,3,1/9,38.00,9.36,24.33,0,0,0
AS Roy (KKR/MI),2019-2024,11,22.4,0,136,191,5,2/19,38.20,8.42,27.20,0,0,0
V Shankar (CSK/DC/GT/SRH),2014-2024,72,39.4,0,238,344,9,2/19,38.22,8.67,26.44,0,0,0
Basil Thampi (GL/MI/SRH),2017-2022,25,86.5,1,521,846,22,3/29,38.45,9.74,23.68,0,0,0
K Gowtham (KXIP/LSG/RR),2018-2024,36,98.0,1,588,808,21,2/12,38.47,8.24,28.00,0,0,0
JDP Oram (CSK/MI/RR),2008-2013,18,39.3,0,237,349,9,3/32,38.77,8.83,26.33,0,0,0
